,channelid,title,description,url,language,viewcount,subscribercount
0,UCc6W7efUSkd9YYoxOnctlFg,Bethany Mota,"Hey! Welcome to my channel. 
Subscribe to see all of my videos about style, travel, comedy, beauty, cooking, positivity,
and more! So thankful for over 10 million MOTAVATORS! You guys are the best.

Xx Beth

E-mail:
BethanyMotaContact@gmail.com",https://yt3.ggpht.com/a/AATXAJxUITHuMcVYwmjnOlggUn27W_zswciPzt7XkyDhWw=s800-c-k-c0xffffffff-no-rj-mo,,990592034,9910000
1,UCsooa4yRKGN_zEE8iknghZA,TED-Ed,"TED-Ed’s commitment to creating lessons worth sharing is an extension of TED’s mission of spreading great ideas. Within TED-Ed’s growing library of TED-Ed animations, you will find carefully curated educational videos, many of which represent collaborations between talented educators and animators nominated through the TED-Ed website (ed.ted.com).

Want to suggest an idea for a TED-Ed animation or get involved with TED-Ed? Visit our website at: http://ed.ted.com/get_involved.

Also, consider donating to us on Patreon! By doing so, you directly support our mission and receive some pretty awesome rewards: https://www.patreon.com/teded

For more information on using TED for commercial purposes (e.g. employee learning, in a film, or in an online course), please submit a Media Request using this link: https://media-requests.ted.com/",https://yt3.ggpht.com/a/AATXAJxvfjw6Rn0yjs1Ni_ohsPi95C8yt66XgpppftgfGA=s800-c-k-c0xffffffff-no-rj-mo,US,2093826231,12400000
0,UCupvZG-5ko_eiXAupbDfxWw,CNN,"CNN operates as a division of Turner Broadcasting System, which is a subsidiary of Warner Media. CNN identifies itself as -- and is widely known to be - the most trusted source for news and information. The CNN umbrella includes nine cable and satellite television networks, two radio networks, the CNN Digital Network, which is the top network of news Web sites in the United States, and CNN Newsource, the world's most extensively syndicated news service. CNN is proud of our ability to bring you up-to-the-minute news from around the world, as a result of our many extensions.",https://yt3.ggpht.com/a/AATXAJxyGHIdj9W_xT_copwZI0USeFUpJcxwIdIR_t28=s800-c-k-c0xffffffff-no-rj-mo,,7751410450,10700000
0,UCjG2HX7jfwqIjzTlaF1CPGA,News24 Nepal,Welcome to the official News24 youtube page. Get  videos and exclusive interviews from the number#1 name for news in NEPAL.,https://yt3.ggpht.com/a/AATXAJxSgvwB9jpip43fVMVIS9Z6RWwOM5EjlozJVM9olw=s800-c-k-c0xffffffff-no-rj-mo,,555352975,2200000
0,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official YouTube channel of Bruno Mars. Subscribe for the latest music videos, performances, and more.


Connect with Bruno:
http://www.brunomars.com
http://www.instagram.com/brunomars
http://www.twitter.com/brunomars
http://www.facebook.com/brunomars",https://yt3.ggpht.com/a/AATXAJx8oPvARzBZG5tNFSMWN3Lq-fjOgiu3yt-i_281CpA=s800-c-k-c0xffffffff-no-rj-mo,,12412559657,28300000
0,UCIEv3lZ_tNXHzL3ox-_uUGQ,Gordon Ramsay,"The home of Gordon Ramsay on YouTube. Recipe tutorials, tips, techniques and the best bits from the archives. New uploads every week - subscribe now to stay up to date!",https://yt3.ggpht.com/a/AATXAJx5R7wPL-FXcTZvQ5wjgMNoj3F3wihflT_dKQVUdQ=s800-c-k-c0xffffffff-no-rj-mo,,2710608362,15500000
0,UCrUbqTCagwsaP2Fmr0p1TsA,Zoe Sugg,Business Enquiries: maddiec@gleamfutures.com,https://yt3.ggpht.com/a/AATXAJy8_B3kPhjiR6byEsjrNrY_xyN4R6TWKnr1YKhtBg=s800-c-k-c0xffffffff-no-rj-mo,,881860339,4800000
0,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,"To see what I'm doing when I'm not vlogging add me on snapchat: @DavidDobrik
Business: DavidDobrikBusiness@gmail.com",https://yt3.ggpht.com/a/AATXAJx9d6yYV41tDuSuV8QHLKRX43I89KGilPimDmqhkA=s800-c-k-c0xffffffff-no-rj-mo,US,7814213833,18400000
0,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,"Netflix is the world's leading streaming entertainment service with 193 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments.",https://yt3.ggpht.com/a/AATXAJyzyrPJMwSCUxtTlY-MQ9sEqX8XHm8MYq4yr7e6Gw=s800-c-k-c0xffffffff-no-rj-mo,US,3349749137,17000000
0,UCRXiA3h1no_PFkb1JCP0yMA,Vogue,"Vogue places fashion in the context of culture and the world we live in—how we dress, live and socialize; what we eat, listen to and watch; who leads and inspires us. Vogue immerses itself in fashion, always leading readers to what will happen next. Thought-provoking, relevant and always influential, Vogue defines the culture of fashion.",https://yt3.ggpht.com/a/AATXAJxF-nokBUbsUclMx5W0K6eUC7XPZZaKP2ZssitrEwo=s800-c-k-c0xffffffff-no-rj-mo,US,2254001813,8540000
0,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,"Double, double toil and trouble!

Team Saf:
Safiya Nygaard
Tyler Williams
Claire Wiley
Mai Linh Nguyen",https://yt3.ggpht.com/a/AATXAJwuTxYzGSZMwfcuBbi2GvXirNKnv-qpsrVRlcc5=s800-c-k-c0xffffffff-no-rj-mo,US,1362489129,8980000
0,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,"TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy (https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy). 

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",https://yt3.ggpht.com/a/AATXAJzsYKEbT4zTwzvH_4mm9wkQplPoKafVKOqR7wsXAQ=s800-c-k-c0xffffffff-no-rj-mo,,4907659186,27000000
0,UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,"The Tonight Show Starring Jimmy Fallon features hilarious highlights from the show including: comedy sketches, music parodies, celebrity interviews, ridiculous games, and, of course, Jimmy's Thank You Notes and hashtags! You'll also find behind the scenes videos and other great web exclusives.

Watch The Tonight Show Starring Jimmy Fallon weeknights at 11:35/10:35c.

The Tonight Show Starring Jimmy Fallon is available now on Peacock, the new streaming service from NBCUniversal.  Watch thousands of hours of hit movies and shows, plus daily news, sports, and pop culture updates.  Stream now on Peacock: https://bit.ly/2AYGd0x",https://yt3.ggpht.com/a/AATXAJwxKCbp2La4ABpu5KQmRxSUS6Xjni4YrkwaTMlsXw=s800-c-k-c0xffffffff-no-rj-mo,US,12894521671,26200000
0,UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,,https://yt3.ggpht.com/a/AATXAJzVpqyUtd21UA91pv9nORL-VHEZ4-baxI2WccJQqw=s800-c-k-c0xffffffff-no-rj-mo,US,783105774,34000000
0,UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,"BuzzFeed’s flagship channel. Sometimes funny, sometimes serious, always shareable. New videos posted daily!
To see behind-the-scenes & more, follow us on Instagram @buzzfeedvideo http://bit.ly/2JRRkKU

Love BuzzFeed? Get the merch! BUY NOW: https://goo.gl/gQKF8m",https://yt3.ggpht.com/a/AATXAJzTjkNK0MJ0w1pEe1WJTj1geEh6V4E15NYX08Y9-g=s800-c-k-c0xffffffff-no-rj-mo,,16966637928,20200000
0,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,"Where products get naked.

Here you will find a variety of videos showcasing the coolest products on the planet. From the newest smartphone to surprising gadgets and technology you never knew existed. It's all here on Unbox Therapy.

Business / professional inquiries ONLY - jack [at] unboxtherapy.com
(please don't use YouTube inbox)",https://yt3.ggpht.com/a/AATXAJw-QM8qKN656goqN2rMXFNZiqs13_DzxBrALSmY_w=s800-c-k-c0xffffffff-no-rj-mo,,3805946339,17200000
0,UCSAUGyc_xA8uYzaIVG6MESQ,nigahiga,"Send me stuff here!
PO BOX 232355 Las Vegas, NV 89105

Film / Television / Personal Appearances / Media Contact
Business Inquiries Only:
Email: Media@HigaTV.com

My 2nd Channel:
http://www.youtube.com/HigaTV

Also check out my Twitter:
http://www.twitter.com/TheRealRyanHiga

Facebook:
http://www.facebook.com/higatv

Instagram
https://www.instagram.com/notryanhiga/

Weibo:
 http://www.weibo.com/ryanhiga",https://yt3.ggpht.com/a/AATXAJypifoUGWuymxZS_saMWH7bBdVh3lrFsUNLOEKQsA=s800-c-k-c0xffffffff-no-rj-mo,US,4293551710,21500000
0,UCQZfFRohQ7UX-0CdXl-6pwQ,Kimberly Loaiza,"Hola ""Linduras"" mi nombre es Kimberly Loiza y creo contenido en internet por que me gusta entretener a mis seguidores. Acostumbre a subir contenido muy RANDOM pero te aseguro que este canal será divertido para tí.

Si quieres ser parte de esta nueva familia te invito a que te suscribas y bienvenido si lo harás.

Contacto: marcaskim@gmail.com 📩",https://yt3.ggpht.com/a/AATXAJz3PgPTpopifQxnpAWhX6L0W8pYGQgpvMoiwprWsg=s800-c-k-c0xffffffff-no-rj-mo,MX,2011067244,25700000
0,UCj22tfcQrWG7EMEKS0qLeEg,CarryMinati,"I am an Indian comedian, gamer, rapper. 

CarryisLive :  https://www.youtube.com/channel/UC0IW...

Instagram► https://www.instagram.com/carryminati/
Facebook ► https://www.facebook.com/CarryDeol/
Twitter ► https://twitter.com/CarryMinati 
Snapchat► heyAjey

Business Related queries: workforcarry@gmail.com 

About CarryMinati : Youthoob certified member

DISCLAIMER: Please don't go out of your way to  or hate on anyone I talk about in my videos, this channel is to entertain people and I usually focus on joking about what the people are doing in general & not the individual themselves, please don't go spreading hate it's all 
for laughs. For detailed disclaimer please refer to the below link.
https://bit.ly/3iRKHH8",https://yt3.ggpht.com/a/AATXAJyWa_nQ2qFeJ67Zwe6QGgaZCs_QlZvn_IGEImn8Iw=s800-c-k-c0xffffffff-no-rj-mo,IN,1840567360,25900000
0,UCIPA6iWNaoetaa1T46RkzXw,AuthenticGames,"Oii, me chamo Marco Túlio e sou conhecido aqui no youtube como Authentic ou AuthenticGames!

Gravo videos de conteúdos voltados para crianças de todas as idades, um canal ideal para você papai ou mamãe assistir com seus filhos!
Um dos conteúdos mais conhecidos aqui do meu canal são os videos do jogo MINECRAFT, ROBLOX, VLOGS SOBRE MINHA VIDA entre outros divertidos e visando um entretenimento saudável para os ''maninhos'' e ''maninhas''  como são conhecidos os inscritos do canal!

Seja bem vindo e divirta-se :D",https://yt3.ggpht.com/a/AATXAJxeVEDWLFlmehGRQ66pI32U6vindFbL_hlqZa0awA=s800-c-k-c0xffffffff-no-rj-mo,BR,8271051754,19500000
