,channelid,videoid,commentvideoid,commentid,authorchannelid,authorchannelurl,authordisplayname,authorprofileimageurl,likecount,textdisplay
0,UCc6W7efUSkd9YYoxOnctlFg,koMbIaJ8Tmo,koMbIaJ8Tmo,Ugwap8R6iQe_QRizueB4AaABAg,UC7LrscDTqi-4bOKztaGX8Rg,http://www.youtube.com/channel/UC7LrscDTqi-4bOKztaGX8Rg,Alexzandria Hensley,https://yt3.ggpht.com/a/AATXAJwC9j2RbiyLEVwWNtkFYQDpT_sPZz9PmM-h66rDIw=s48-c-k-c0xffffffff-no-rj-mo,1,Watching this is 2020 reminiscing on old YouTube videos that were so pure and innocent💗
1,UCsooa4yRKGN_zEE8iknghZA,iIbxaUbLXEQ,koMbIaJ8Tmo,UgyjDeNnLrkrYs_YnhJ4AaABAg,UCs_pJrtGpyb8gbwBefFy6Ow,http://www.youtube.com/channel/UCs_pJrtGpyb8gbwBefFy6Ow,Mavi Cole,https://yt3.ggpht.com/a/AATXAJykjvSxTLOa9OIDVLAf1CWMXMcRADurIOrOOg=s48-c-k-c0xffffffff-no-rj-mo,3,It’s that time of year ladies
0,UCupvZG-5ko_eiXAupbDfxWw,NmRJgKbibB8,NmRJgKbibB8,Ugw6koAOjRJEjgLWeM94AaABAg,UC59rG_aURHCTZBaOm2nB0Hg,http://www.youtube.com/channel/UC59rG_aURHCTZBaOm2nB0Hg,Ishmeet Ahuja,https://yt3.ggpht.com/a/AATXAJy_jcjjXu7BOQncmgnKhn_i_lmzdin0iDq-mw=s48-c-k-c0xffffffff-no-rj-mo,1,MVP 💎
0,UCjG2HX7jfwqIjzTlaF1CPGA,tGBHFnIXdAk,tGBHFnIXdAk,UgywfAmzWkwTazh6Ejx4AaABAg,UClJfor7Ey4IPizDXC3BIANQ,http://www.youtube.com/channel/UClJfor7Ey4IPizDXC3BIANQ,Pratik Khanal,https://yt3.ggpht.com/a/AATXAJzCzRLmwkZSGmzmABExjDmAMi9NeSn0_2vVfQ=s48-c-k-c0xffffffff-no-rj-mo,0,"नायिका आंचल शर्माको रमाइलो टिकटक भिडियो | भाग- ३ | भिडियो हेरी मनोरञ्जन गर्नुहोस है। रमाइलो लाग्नेछ । यस्तै फरक फरक भिडियो हेर्न हाम्रो च्यानल subscribe पनि गरिदिनु होला है।<br /><a href=""https://youtu.be/zjxLHmha3oQ"">https://youtu.be/zjxLHmha3oQ</a>"
0,UCoUM-UJ7rirJYP8CQ0EIaHA,ekzHIouo8Q4,ekzHIouo8Q4,UgzZW5pr3rddPftu3qZ4AaABAg,UCSXl2cFAhevfaWd2xMg8FmQ,http://www.youtube.com/channel/UCSXl2cFAhevfaWd2xMg8FmQ,Yasmin Donato,https://yt3.ggpht.com/a/AATXAJzVo9yLESyNAvpBHzFnC58jHAAKRQLsrfGEzGitUg=s48-c-k-c0xffffffff-no-rj-mo,1,Somebody in quarantine or 2020?? <br />Like..
0,UCIEv3lZ_tNXHzL3ox-_uUGQ,gBJjRYk0yC0,gBJjRYk0yC0,UgzDnIyqSlIIMUftXxV4AaABAg,UCdJGoW7AmtF30Fen8j70luw,http://www.youtube.com/channel/UCdJGoW7AmtF30Fen8j70luw,Alief Official,https://yt3.ggpht.com/a/AATXAJyd_KGDWIgKoYZZAhf5tPnuWjCC2SASZvyRPgng=s48-c-k-c0xffffffff-no-rj-mo,0,Beautiful
0,UCrUbqTCagwsaP2Fmr0p1TsA,N61pdv7jNiQ,N61pdv7jNiQ,UgzKkOYJtQ5QAr9e2a54AaABAg,UCjnJjJNXU7TS8TwanBOF0mw,http://www.youtube.com/channel/UCjnJjJNXU7TS8TwanBOF0mw,Madison B,https://yt3.ggpht.com/a/AATXAJzycsdwPRPilvfk0NU9xio_wHoY_KyYLr2xR1We=s48-c-k-c0xffffffff-no-rj-mo,1,october 1st 2020.. y’all know what time it is
0,UCmh5gdwCx6lN7gEC20leNVA,RHPrkc44oDg,RHPrkc44oDg,Ugxmrq_W9nR2n6_hYk14AaABAg,UCmh5gdwCx6lN7gEC20leNVA,http://www.youtube.com/channel/UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,https://yt3.ggpht.com/a/AATXAJx9d6yYV41tDuSuV8QHLKRX43I89KGilPimDmqhkA=s48-c-k-c0xffffffff-no-rj-mo,35110,"All the extra honeymoon footage will be on my instagram: <a href=""http://instagram.com/daviddobrik"">instagram.com/daviddobrik</a>"
0,UCWOA1ZGywLbqmigxE4Qlvuw,BQ7IAbWKmzg,BQ7IAbWKmzg,UgzVm4iyb0F6PaThTHR4AaABAg,UCLeN-8gr8pDqMeqiYcBB7rw,http://www.youtube.com/channel/UCLeN-8gr8pDqMeqiYcBB7rw,Julio Guerra,https://yt3.ggpht.com/a/AATXAJyLX-FwwqYPIfMyX5uwf-Ec1wKY0v7YMaM-NOcwWA=s48-c-k-c0xffffffff-no-rj-mo,1,Chance the rapper sounded like a bitch
0,UCRXiA3h1no_PFkb1JCP0yMA,UTJ7c2saCc4,UTJ7c2saCc4,Ugwa77ZIfTMD89szieB4AaABAg,UCQ0H1DqkUTq4wGqRDgtH9dw,http://www.youtube.com/channel/UCQ0H1DqkUTq4wGqRDgtH9dw,Danielle McClain,https://yt3.ggpht.com/a/AATXAJy6_MB13bvDCCGd79g1DIGJH1vOLojdTs31xQ=s48-c-k-c0xffffffff-no-rj-mo,0,Cute but can we talk about how Priyanka can draw the emojis on point while i have to think for a good 15 minutes to picture and draw it well.......
