,channelid,videoid,video_title,video_description,topiccategories,videothumbnails,videotags,videocommentcount,videodislikecount,videolikeCount,videoviewcount,categoryId
0,UCc6W7efUSkd9YYoxOnctlFg,koMbIaJ8Tmo,Morning Routine: Fall Edition!!,"Thumbs up for more seasonal morning routines!! xoxo, Bethany Here's my links! So we can chat all day err day..hehe :) Instagram: Bethanynoelm Keek: ...",['Lifestyle'],https://i.ytimg.com/vi/koMbIaJ8Tmo/hqdefault.jpg,"['macbarbie07', 'bethany mota', 'morning routine', 'morning', 'routine', 'fall morning routine', 'fall', 'autumn', 'makeup', 'hair', 'everyday routine', 'school routine', 'neice', 'family', 'vlog']",28639,4367,272765,16433339,26
1,UCc6W7efUSkd9YYoxOnctlFg,iIbxaUbLXEQ,Night Routine: Winter Break!!,"XOXO, Bethany Here's my links! So we can chat all day err day..hehe :) Instagram: Bethanynoelm My Twitter!- http://twitter.com/bethanymota My Facebook!",['Lifestyle'],https://i.ytimg.com/vi/iIbxaUbLXEQ/hqdefault.jpg,"['bethany', 'mota', 'bethanymota', 'night', 'routine', 'winter', 'nightly', 'morning', 'christmas', 'skincare', 'shower', 'favorite', 'products']",53817,2765,270791,9954447,26
2,UCc6W7efUSkd9YYoxOnctlFg,EbVKEsvPIKE,Look cute after PE/GYM: My after workout essentials!,"I got a PO box! Finally :) Bethany Mota 11420 Santa Monica Blvd. #25443 Los Angeles, CA 90025 Music by the amazing: Madilyn Bailey!",['Lifestyle'],https://i.ytimg.com/vi/EbVKEsvPIKE/hqdefault.jpg,"['macbarbie07', 'bethanyslife', 'look', 'cute', 'after', 'pe', 'gym', 'workout', 'beauty', 'essentials', 'makeup', 'tutorial', 'perfume', 'deodorant']",16487,2462,122238,9644701,26
3,UCc6W7efUSkd9YYoxOnctlFg,jNR6cUsZrZM,TRUTH or DARE in Public! ft. Logan Paul,"Thumbs up for my friend Logan and I taking on the challenges you guys sent in! Not gonna lie, I was a little scared hahaha. Thanks for watching! Who would you ...",['Entertainment'],https://i.ytimg.com/vi/jNR6cUsZrZM/hqdefault.jpg,"['bethany mota', 'bethany moto', 'bethany', 'beth', 'mota', 'macbarbie07', 'macbarbie', 'comedy', 'lifestyle', 'truth or dare', 'logan paul', 'public', 'challenge', 'singing', 'dancing', 'vlog', 'target', 'store', 'break up', 'hair', 'funny', 'truth', 'dare']",8335,3837,195022,4910381,26
4,UCc6W7efUSkd9YYoxOnctlFg,yANBTENjXxk,$30 Outfit Challenge ft. LaurDIY,THUMBS UP FOR MORE FASHION VIDEOS!! Hope you guys enjoyed watching Lauren and I stress out while shopping for each other which outfit was your ...,"['Lifestyle', 'Technology']",https://i.ytimg.com/vi/yANBTENjXxk/hqdefault.jpg,"['outfit challenge', 'laurdiy', 'bethany mota', 'outfit', 'challenge', 'summer', 'budget', 'trying on', 'try on', 'amazon', 'dresses', 'testing', 'forever 21', 'shopping', 'vlog']",3829,1353,135134,3458023,26
5,UCc6W7efUSkd9YYoxOnctlFg,QkZ3vEjDQ04,$30 OUTFIT CHALLENGE ft. Alisha marie | FALL 2017,THUMBS UP FOR #BETHLISHA!! We had so much fun filming this for you guys. Check out the video we did for Alisha's channel to see the other outfit we chose ...,"['Lifestyle', 'Fashion']",https://i.ytimg.com/vi/QkZ3vEjDQ04/hqdefault.jpg,"['bethany mota', 'bethany moto', 'bethany', 'beth', 'mota', 'macbarbie07', 'macbarbie', 'lifestyle', 'outfit challenge', 'alisha marie', 'outfit', 'challenge', 'fall outfits', 'try on', 'haul', 'trying on', 'forever 21', 'budget', 'shopping for eachother', 'shop']",3533,901,79320,2125731,26
6,UCc6W7efUSkd9YYoxOnctlFg,u60Pb8vd4rM,"Running Late For School ⎜Quick Hair fixes, Makeup, &amp; Outfit Ideas!",Which outfit and Hairstyles were YOUR favorite!? let me know in the comments :) Thumbs up for more school/running late videos! Hope you guys enjoyed these ...,['Lifestyle'],https://i.ytimg.com/vi/u60Pb8vd4rM/hqdefault.jpg,"['bethany', 'mota', 'bethanymota', 'running', 'late', 'for', 'school', 'work', 'routine', 'morning', 'hairstyles', 'quick', 'makeup', 'breakfast', 'ideas', 'recipes']",24649,4190,321474,14425423,26
7,UCc6W7efUSkd9YYoxOnctlFg,wrFnqjhAhKQ,5 EASY Outfits for School | Bethany Mota,"Hey Guys, Made this video because I never know what to wear. I'm always like, I don't have anything to wear, my clothes are dirty, I can't find anything. I hope ...","['Lifestyle', 'Fashion']",https://i.ytimg.com/vi/wrFnqjhAhKQ/hqdefault.jpg,"['bethany mota', 'bethany', 'mota', 'motavator', 'macbarbie07', 'youtube', 'how i get dressed', 'how to dress for school', '5 easy outfits', '5 easy outfits for school', 'girls', 'girls night out', 'bts', 'school outfits', 'fashion', 'beauty', 'lifestyle', 'beth', 'make your mind up', 'college outfits', 'how to dress tips', 'tips for fashion', 'fashionista']",9129,2172,171069,3513923,26
8,UCc6W7efUSkd9YYoxOnctlFg,EP6FiH8vBMo,KIAN LAWLEY DOES MY MAKEUP | Bethany Mota,THUMBS UP FOR KIANS MAKEUP SKILLS! Wanna see more collabs? Leave a comment below telling me who you wanna see next! Check out Kian!,['Lifestyle'],https://i.ytimg.com/vi/EP6FiH8vBMo/hqdefault.jpg,"['does my makeup', 'kian lawley', 'bethanymota', 'makeup', 'instagram', 'challenge', 'trends', 'testing', 'makeover', 'funny', 'collab']",3942,686,105795,1722038,26
9,UCc6W7efUSkd9YYoxOnctlFg,DpPf1w04bG4,Types of People at Starbucks | Bethany Mota,Let's get this video to 100000 likes! Hey guys! What is your favorite Starbucks drink? Leave in the comments below! Watch my last video: ...,['Entertainment'],https://i.ytimg.com/vi/DpPf1w04bG4/hqdefault.jpg,"['bethany mota', 'bethany', 'mota', 'motavators', 'coffee', 'starbucks', 'fall', 'PSL', 'pumpkin spice latte', 'comedy', 'funny', 'lol', 'girls', 'types of people', 'types of girls', 'types of', 'types', 'how to', 'diy']",6911,2487,101168,2492302,23
