,,ChannelInfo,Category,Subscribers ,Avg.Views ,NoxScore
1,    -   ,   T-Series ,  Music  , 155M ↑  0.7% ,  2.2M   ↑   8.8% ,
2,    -   ,   PewDiePie ,  Entertainment  , 107M   -   ,  5.08M   ↑   4.1% ,
3,    -   ,   Cocomelon - Nursery Rhymes ,  Education  , 94.5M ↑  0.5% ,  37.26M   ↑   0.8% ,
4, 4     -   ,   SET India ,  Entertainment  , 84M ↑  1% ,  7.83K    ↓     65.8% ,
5, 5     -   ,   5-Minute Crafts ,  Howto & Style  , 68.6M ↑  0.3% ,  1.78M   ↑   26.5% ,
6, 6     -   ,   WWE ,  Sports  , 66.9M ↑  0.6% ,  342.29K   ↑   8.9% ,
7, 7     -   ,   ✿ Kids Diana Show ,  Entertainment  , 64.3M ↑  0.8% ,  19.63M    ↓     22.9% ,
8, 8     -   ,   Zee Music Company ,  Music  , 62.4M ↑  0.7% ,  313.73K    ↓     65.6% ,
9, 9     -   ,   Like Nastya ,  Entertainment  , 61.2M ↑  0.7% ,  33.75M    ↓     1.7% ,
10, 10     -   ,   Canal KondZilla ,  Music  , 60.6M ↑  0.2% ,  324.51K   ↑   12.6% ,
11, 11     -   ,   Justin Bieber ,  Music  , 57.3M ↑  0.4% ,  3.56M   ↑   0.3% ,
12, 12   ↑   1  ,   Vlad and Niki ,  Entertainment  , 53.6M ↑  1.3% ,  64.83M    ↓     0.9% ,
13, 13     ↓    1  ,   Dude Perfect ,  Sports  , 53.5M   -   ,  23.17M   ↑   1.4% ,
14, 14     -   ,   Zee TV ,  Entertainment  , 51.4M ↑  0.6% ,  431.19K    ↓     30.6% ,
15, 15   ↑   1  ,   BLACKPINK ,  Music  , 48.9M ↑  1% ,  19.23M    ↓     58.8% ,
16, 16     ↓    1  ,   Marshmello ,  Music  , 48.7M ↑  0.2% ,  2.93M   ↑   2.9% ,
17, 17     -   ,   Ed Sheeran ,  Music  , 45.6M   -   ,  32.86M   ↑   0.4% ,
18, 18   ↑   1  ,   Big Hit Labels ,  Music  , 44.6M ↑  0.7% ,  27.79M   ↑   4.5% ,
19, 19     ↓    1  ,   EminemMusic ,  Music  , 44.5M ↑  0.2% ,  20.07M   ↑   0.3% ,
20, 20     -   ,   Movieclips ,  Film & Animation  , 44.4M ↑  0.7% ,  26.87K   ↑   149.4% ,
21, 21     -   ,   MrBeast ,  Entertainment  , 44M ↑  0.9% ,  36.37M   ↑   1.5% ,
22, 22     -   ,   Badabun ,  Entertainment  , 43.4M ↑  0.2% ,  60.34K    ↓     10.8% ,
23, 23     -   ,   Ariana Grande ,  Music  , 43.3M ↑  0.2% ,  797.1K   ↑   1.4% ,
24, 24     -   ,   Shemaroo Filmi Gaane ,  Music  , 42.1M ↑  0.7% ,  71.38K    ↓     13.5% ,
25, 25   ↑   1  ,   Goldmines Telefilms ,  Film & Animation  , 41.9M ↑  0.7% ,  373.57K    ↓     18% ,
26, 26   ↑   1  ,   Aaj Tak ,  News & Politics  , 41.7M ↑  0.5% ,  39.56K   ↑   71.9% ,
27, 27     ↓    2  ,   HolaSoyGerman. ,  Entertainment  , 41.6M   -   ,  32.42M   ↑   0.1% ,
28, 28     -   ,   JuegaGerman ,  Entertainment  , 41.4M ↑  0.2% ,  3.26M   ↑   4.1% ,
29, 29     -   ,   whinderssonnunes ,  Comedy  , 40.9M ↑  0.3% ,  7.06M   ↑   0.6% ,
30, 30     -   ,   ChuChu TV Nursery Rhymes & Kids Songs ,  Education  , 40.4M ↑  0.5% ,  4.01M   ↑   9% ,
31, 31     -   ,   Taylor Swift ,  Music  , 39.9M ↑  0.3% ,  3.5M   ↑   0.2% ,
32, 32     -   ,   Felipe Neto ,  Entertainment  , 39.6M ↑  0.3% ,  2.57M   ↑   13.6% ,
33, 33     -   ,   Pinkfong! Kids' Songs & Stories ,  Education  , 38.8M ↑  0.5% ,  1.15M   ↑   6.1% ,
34, 34   ↑   1  ,   Sony Music India ,  Music  , 38.8M ↑  0.5% ,  7.24M    ↓     1.6% ,
35, 35   ↑   1  ,   elrubiusOMG ,  Entertainment  , 38.7M ↑  0.3% ,  11.53M   ↑   0.3% ,
36, 36     ↓    2  ,   Katy Perry ,  Music  , 38.6M   -   ,  972.16K   ↑   0.1% ,
37, 37     -   ,   Wave Music ,  Music  , 38.2M ↑  0.5% ,  718.11K   ↑   90.8% ,
38, 38   ↑   2  ,   SAB TV ,  Entertainment  , 37.9M ↑  0.8% ,  58.87K   ↑   178.5% ,
39, 39     ↓    1  ,   Fernanfloo ,  Gaming  , 37.9M   -   ,  21.6M   ↑   0.2% ,
40, 40     ↓    1  ,   TheEllenShow ,  Entertainment  , 37.6M   -   ,  70.76K    ↓     83.5% ,
41, 41   ↑   2  ,   BANGTANTV ,  Music  , 37.5M ↑  1.4% ,  6.4M    ↓     2% ,
42, 42     -   ,   El Reino Infantil ,  Music  , 37.3M ↑  0.5% ,  1.48M   ↑   15.2% ,
43, 43     ↓    2  ,   Você Sabia? ,  Entertainment  , 37.3M ↑  0.5% ,  2.63M    ↓     6.4% ,
44, 44     -   ,   BRIGHT SIDE ,  Howto & Style  , 36.7M ↑  0.3% ,  219.54K    ↓     7.9% ,
45, 45     -   ,   Alan Walker ,  Music  , 36.5M ↑  0.3% ,  7.86M   ↑   1.2% ,
46, 46     -   ,   Rihanna ,  Entertainment  , 35.4M   -   ,  778.6K   ↑   0.7% ,
47, 47     -   ,   LooLoo Kids - Nursery Rhymes and Children's Songs ,  Music  , 34.4M ↑  0.9% ,  16.01M    ↓     0.4% ,
48, 48     -   ,   Billie Eilish ,  Music  , 34M ↑  0.3% ,  25.5M    ↓     1.5% ,
49, 49   ↑   2  ,   YRF ,  Film & Animation  , 33.8M ↑  0.6% ,  2.49M    ↓     7.9% ,
50, 50     -   ,   One Direction ,  Music  , 33.7M ↑  0.3% ,  1.72M   ↑   0.8% ,
51, 51     ↓    1  ,   One Direction ,  Music  , 33.7M ↑  0.3% ,  1.72M   ↑   0.8% ,
52, 52     -   ,   T-Series Bhakti Sagar ,  Music  , 33.3M ↑  0.9% ,  55.67K   ↑   26.8% ,
53, 53     -   ,   Little Baby Bum - Nursery Rhymes & Kids Songs ,  Education  , 32.9M ↑  0.6% ,  681.65K   ↑   2.4% ,
54, 54     -   ,   JustinBieberVEVO ,  Music  , 32.5M   -   ,  14.88M   ↑   5.1% ,
55, 55   ↑   1  ,   Tips Official ,  Music  , 32.5M ↑  0.6% ,  1.23M   ↑   3.5% ,
56, 56     ↓    1  ,   Speed Records ,  Music  , 32.4M ↑  0.3% ,  143.6K    ↓     13.1% ,
57, 57   ↑   2  ,   Like Nastya Show ,  Entertainment  , 32.4M ↑  0.6% ,  11.23M   ↑   15.4% ,
58, 58     -   ,   LUCCAS NETO - LUCCAS TOON ,  Entertainment  , 32.3M ↑  0.3% ,  2.2M   ↑   12% ,
59, 59     ↓    2  ,   Get Movies ,  Entertainment  , 32.3M ↑  0.3% ,  378.03K   ↑   16.5% ,
60, 60     -   ,   Maroon 5 ,  Music  , 32M ↑  0.3% ,  4.71M   ↑   1.1% ,
61, 61     -   ,   SonyMusicIndiaVEVO ,  Music  , 31.8M ↑  0.3% ,  1.26M   ↑   5.5% ,
62, 62   ↑   1  ,   Daddy Yankee ,  Music  , 31.2M ↑  0.3% ,  113.85M   ↑   0.9% ,
63, 63     ↓    1  ,   VEGETTA777 ,  Gaming  , 31.1M   -   ,  1.6M    ↓     17.8% ,
64, 64     -   ,   GR6 EXPLODE ,  Music  , 31M ↑  0.3% ,  243.24K    ↓     55.9% ,
65, 65     -   ,   Маша и Медведь ,  Film & Animation  , 30.9M ↑  0.3% ,  2.37M   ↑   10.5% ,
66, 66     -   ,   WorkpointOfficial ,  Entertainment  , 30.8M ↑  0.3% ,  4.51K    ↓     75.6% ,
67, 67     -   ,   Shakira ,  Music  , 30.5M   -   ,  4.02M   ↑   1% ,
68, 68     -   ,   Ozuna ,  Music  , 30.3M ↑  0.3% ,  30.84M   ↑   7.8% ,
69, 69     -   ,   WorkpointOfficial , , 29.8M ↑  0.3% ,  1.48M    -    ,
70, 70     -   ,   ABS-CBN Entertainment ,  Entertainment  , 29.8M ↑  0.7% ,  32.25K    ↓     22.5% ,
71, 71     -   ,   Trap Nation ,  Music  , 29.2M   -   ,  210.65K   ↑   4.8% ,
72, 72     -   ,   Colors TV ,  Entertainment  , 29M ↑  0.7% ,  8.37K    ↓     56.4% ,
73, 73     -   ,   J Balvin ,  Music  , 28.7M ↑  0.4% ,  2.69M   ↑   0.9% ,
74, 74     -   ,   Bruno Mars ,  Music  , 28.2M   -   ,  123.15M   ↑   0.1% ,
75, 75     -   ,   Luis Fonsi ,  Entertainment  , 28.2M ↑  0.4% ,  254.06K   ↑   2% ,
76, 76   ↑   2  ,   XXXTENTACION ,  Music  , 28M ↑  0.7% ,  4.81M   ↑   0.9% ,
77, 77     ↓    1  ,   rezendeevil ,  Entertainment  , 27.9M   -   ,  528.11K   ↑   20.1% ,
78, 78     ↓    1  ,   NoCopyrightSounds ,  Music  , 27.8M   -   ,  964.85K    ↓     1.1% ,
79, 79   ↑   1  ,   Bad Bunny ,  Music  , 27.7M ↑  0.4% ,  61.42M   ↑   1.2% ,
80, 80     ↓    1  ,   Spinnin' Records ,  Music  , 27.7M   -   ,  121.47K   ↑   9.7% ,
81, 81     -   ,   Infobells - Hindi ,  Education  , 27.5M ↑  0.7% ,  3.4M   ↑   6.2% ,
82, 82   ↑   1  ,   Markiplier ,  Gaming  , 27M ↑  0.4% ,  2.63M   ↑   8.1% ,
83, 83     ↓    1  ,   TEDx Talks ,  Nonprofits & Activism  , 27M ↑  0.4% ,  1.64K   ↑   163.7% ,
84, 84     -   ,   Selena Gomez ,  Film & Animation  , 26.8M ↑  0.4% ,  6.03M   ↑   1.6% ,
85, 85     -   ,   Ryan's World ,  Entertainment  , 26.6M   -   ,  2.57M    ↓     2.3% ,
86, 86     -   ,   Boram Tube Vlog [보람튜브 브이로그] ,  Entertainment  , 26.6M ↑  0.4% ,  65.81M   ↑   0.8% ,
87, 87     -   ,   TaylorSwiftVEVO ,  Music  , 26.5M   -   ,  7.94M   ↑   4.5% ,
88, 88     -   ,   ABP NEWS ,  News & Politics  , 26.4M ↑  0.4% ,  5.79K   ↑   13.9% ,
89, 89   ↑   1  ,   Venus ,  Music  , 26.2M ↑  0.8% ,  257.89K   ↑   54.7% ,
90, 90     ↓    1  ,   Shawn Mendes ,  Music  , 26.1M   -   ,  1.73M   ↑   0.1% ,
91, 91   ↑   7  ,   The Tonight Show Starring Jimmy Fallon ,  Comedy  , 26M ↑  2% ,  358.78K   ↑   209.2% ,
92, 92     ↓    1  ,   Shemaroo ,  Entertainment  , 26M ↑  0.8% ,  584.97K   ↑   42.5% ,
93, 93   ↑   1  ,   CarryMinati ,  Comedy  , 25.9M ↑  0.8% ,  30.25M   ↑   1.4% ,
94, 94     ↓    1  ,   GENIAL ,  Howto & Style  , 25.8M ↑  0.4% ,  148.38K   ↑   12.7% ,
95, 95   ↑   4  ,   Kimberly Loaiza ,  People & Blogs  , 25.7M ↑  0.8% ,  13.29M   ↑   3.4% ,
96, 96     ↓    4  ,   Atta Halilintar ,  Entertainment  , 25.7M   -   ,  1.2M    ↓     0.4% ,
97, 97     ↓    1  ,   RihannaVEVO ,  Music  , 25.6M   -   ,  115.03M   ↑   0.1% ,
98, 98     ↓    3  ,   BST Kids - Nursery Rhymes & Songs ,  Entertainment  , 25.6M   -   ,  195.6K    ↓     5.1% ,
99, 99     ↓    2  ,   EminemVEVO ,  Music  , 25.5M   -   ,  56.92M   ↑   0.2% ,
100, 100   ↑   1  ,   one31 ,  Entertainment  , 25.5M ↑  0.4% ,  1.58K    ↓     4.2% ,
101, 101     ↓    1  ,   KatyPerryVEVO ,  Music  , 25.4M   -   ,  8.08M   ↑   3.6% ,
102, 102     -   ,   Toys and Colors ,  Entertainment  , 25.4M ↑  0.4% ,  4.31M    ↓     3.3% ,
103, 103     -   ,   Baby Doli - ToyPudding ,  Education  , 25.4M ↑  0.4% ,  891.35K   ↑   11.3% ,
104, 104     -   ,   Maluma ,  Music  , 25.4M ↑  0.8% ,  35.24M   ↑   0.4% ,
105, 105   ↑   1  ,   AuronPlay ,  Comedy  , 25.3M ↑  0.4% ,  11.62M   ↑   0.6% ,
106, 106     ↓    1  ,   VanossGaming ,  Gaming  , 25.2M   -   ,  1.82M   ↑   12.6% ,
107, 107   ↑   2  ,   Ch3Thailand ,  Entertainment  , 25.1M ↑  0.4% ,  23.97K   ↑   17022.1% ,
108, 108     ↓    1  ,   Smosh ,  Comedy  , 25.1M   -   ,  798.51K    ↓     1.1% ,
109, 109     ↓    1  ,   Eros Now ,  Entertainment  , 25.1M ↑  0.4% ,  204.74K   ↑   5.3% ,
110, 110     -   ,   CVS 3D Rhymes & Kids Songs ,  Education  , 25M ↑  0.4% ,  41.8M   ↑   0.6% ,
111, 111   ↑   2  ,   shfa ,  People & Blogs  , 25M ↑  0.8% ,  7.32M    ↓     18.3% ,
112, 112     ↓    1  ,   Ultra Bollywood ,  Entertainment  , 24.9M ↑  0.4% ,  524.25K   ↑   14.3% ,
113, 113   ↑   1  ,   Ultra Music ,  Music  , 24.8M ↑  0.4% ,  53.55K    ↓     3.2% ,
114, 114     ↓    2  ,   jacksepticeye ,  Gaming  , 24.8M   -   ,  2.38M   ↑   8.7% ,
115, 115     -   ,   Super Simple Songs - Kids Songs ,  Education  , 24.7M ↑  0.4% ,  5.63M   ↑   2.2% ,
116, 116   ↑   2  ,   T-Series Apna Punjab ,  Music  , 24.7M ↑  0.4% ,  1.39M    ↓     25.1% ,
117, 117     -   ,   Yuya ,  Howto & Style  , 24.6M   -   ,  892.11K   ↑   0.6% ,
118, 118     ↓    2  ,   The Late Late Show with James Corden ,  Entertainment  , 24.6M   -   ,  126.82K    ↓     31.7% ,
119, 119     -   ,   Gaane Sune Ansune ,  Music  , 24.5M ↑  0.4% ,  84.56K   ↑   16.5% ,
120, 120   ↑   1  ,   SMTOWN ,  Music  , 24.2M ↑  0.4% ,  2.87M   ↑   5.3% ,
121, 121     ↓    1  ,   WORLDSTARHIPHOP ,  Music  , 24.2M   -   ,  107.95K    ↓     24.1% ,
122, 122     -   ,   Galinha Pintadinha ,  Film & Animation  , 24.2M ↑  0.4% ,  276.8M   ↑   0.9% ,
