,ChannelInfo,Category,Subscribers,Avg.Views,NoxScore,Channelid,Avatar
1,   T-Series ,  Music  , 155M,  2.17M,5,UCq-Fj5jknLsUf-MWSy4_brA,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/32b553aac7c5870ab47d9448a9e81098.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
2,   PewDiePie ,  Entertainment  , 107M,  5.32M,4.54,UC-lHJZR3Gqxm24_Vd_AJ5Yw,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/916d1538118961c751e6f11d4aac8890.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
3,   Cocomelon - Nursery Rhymes ,  Education  , 95M,  37.83M,5,UCbCmjCuTUZos6Inko4u57UQ,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/be59d9d44131873c5c9662e49858b472.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
4,   SET India ,  Entertainment  , 84.5M,  43.85K,4.48,UCpEhnqL0y41EpW2TvWAHD7Q,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/31ad65eaaa8d8743083c05287047bd15.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
5,   5-Minute Crafts ,  Howto & Style  , 68.7M,  1.91M,4.22,UC295-Dw_tDNtZXFeAPAW6Aw,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/e276bb0481a5138bcfbd44db6f9d871a.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
6,   WWE ,  Sports  , 67.2M,  96.63K,4.73,UCJ5v_MCY6GNUBTO8-D3XoAg,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/c1d86e8664f0de3290f0200d5d44b2b2.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
7,   ✿ Kids Diana Show ,  Entertainment  , 64.7M,  19.49M,4.88,UCk8GzjMOrta8yxDcKfylJYw,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/5c7763349682488ce03d0ba21b1c1792.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
8,   Zee Music Company ,  Music  , 62.6M,  388.39K,4.36,UCFFbwnve3yF62-tVXkTyHqg,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/3d779cac60417aac5ba279935359ef49.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
9,   Like Nastya ,  Entertainment  , 61.6M,  35.41M,4.88,UCJplp5SjeGSdVdwsfb9Q7lQ,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/65cb0415d8f8172d6b3973129588a5e9.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
10,   Canal KondZilla ,  Music  , 60.7M,  380.28K,3.86,UCffDXn7ycAzwL2LDlbyWOTw,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/3c60ea7664832fb50d5fa35212b37a13.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
11,   Justin Bieber ,  Music  , 57.4M,  3.62M,3.79,UCIwFjwMjI0y7PDBVEO9-bkQ,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/d928aac6ba4fd7e3b94dc486bb106e5e.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
12,   Vlad and Niki ,  Entertainment  , 54.2M,  64.35M,4.88,UCvlE5gTbOvjiolFlEm-c_Ow,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/c20b1a6571a31a50355c079723aca730.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
13,   Dude Perfect ,  Sports  , 53.6M,  22.21M,4.89,UCRijo3ddMTht_IHyNSNXpNQ,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/5e1670f58e190087427b72ec21a0b94f.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
14,   Zee TV ,  Entertainment  , 51.6M,  332.68K,4.21,UCppHT7SZKKvar4Oc9J4oljQ,"https://res06.noxgroup.com/noxinfluencer/youtube/avatar/a870dfe03c4fc419a4cd9cae5cba09fd.png?x-oss-process=image/resize,m_lfit,h_64,w_64"
